CRN_KEY,SUBJ_CODE,CRSE_NUMBER,Credit_Hours,Semester,Title,Instructor_Name,Meet_Days1,Begin_Time1,End_Time1,Meet_Days2,Begin_Time2,End_Time2,Schedule_desc,Instructional_Method,Start_Date,End_Date,CRN_Attributes
23874,ACAD,1101,1,Fall 2021,EXPLORATION FOR THE UNDECIDED,", ",,,,,,,Activity Course,TRAD,10/11/2021,12/10/2021,
25959,ACAD,1101,1,Fall 2021,EXPLORATION FOR THE UNDECIDED,"Williams, Robyn",MW,1200,1250,,,,Activity Course,DESY,10/11/2021,12/10/2021,
24735,ACAD,1103,1,Fall 2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,Activity Course,TRAD,8/19/2021,10/8/2021,
24736,ACAD,1103,1,Fall 2021,ACADEMIC STRATEGIES,"Baldwin, Amy G",MW,800,850,,,,Activity Course,TRAD,10/11/2021,12/10/2021,
22500,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22501,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Dickinson, Leila E",MWF,1200,1250,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22502,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,800,850,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22503,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,1050,1205,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22550,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Graybeal, Lesley M",MWF,800,850,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22551,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Mays, Victoria A",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22552,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Peel, Christene R",MWF,1100,1150,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22554,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Patel, Parisha P",MWF,1400,1450,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22555,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Marbley, Karon M",MWF,1300,1350,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22556,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"DenHartog, Leigh A",MW,1500,1615,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22557,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Eslinger, Nadia C",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22558,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",TR,925,1040,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22559,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Olds, Carl B",MWF,1200,1250,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22561,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22562,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Baldwin, Amy G",TR,800,915,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22563,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Ingram, Dedrick",MWF,1200,1250,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22564,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Ruud, Jennifer E",TR,1215,1330,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22565,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Lea, Cynthia R",MWF,900,950,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
22607,ACAD,1300,3,Fall 2021,JOURNEYS TO SUCCESS,"Lierley Harrison, Jennifer A",MWF,1000,1050,,,,Lecture,TRAD,8/19/2021,12/10/2021,"1F01,1R01"
